doi,cite_num_outgoing,cite_num_ingoing,oci_outgoing,oci_ingoing,status
10.48550/arXiv.2303.09372,0.0,0,[],[],ok
10.5281/zenodo.10004591,0.0,0,[],[],ok
10.5281/zenodo.10004575,0.0,0,[],[],ok
10.5281/zenodo.6319836,0.0,0,[],[],ok
10.5281/zenodo.14735693,0.0,0,[],[],ok
10.5281/zenodo.14277535,0.0,0,[],[],ok
10.5281/zenodo.14652720,0.0,0,[],[],ok
10.5281/zenodo.11371970,0.0,0,[],[],ok
10.5281/zenodo.10529338,0.0,0,[],[],ok
10.5281/zenodo.11121116,0.0,0,[],[],ok
10.5281/zenodo.6759025,0.0,0,[],[],ok
10.5281/zenodo.6759021,0.0,0,[],[],ok
10.5281/zenodo.11121162,0.0,0,[],[],ok
10.5281/zenodo.6757537,0.0,0,[],[],ok
10.5281/zenodo.14768276,0.0,0,[],[],ok
10.5281/zenodo.4075033,0.0,0,[],[],ok
10.5281/zenodo.7547639,0.0,0,[],[],ok
10.5281/zenodo.14713305,0.0,0,[],[],ok
10.5281/zenodo.14712259,0.0,0,[],[],ok
10.5281/zenodo.1069439,0.0,1,[],['062503275712-060308651'],ok
10.5281/zenodo.7696185,0.0,0,[],[],ok
10.5281/zenodo.4811251,0.0,1,[],['062303912148-06530176395'],ok
10.5281/zenodo.10418660,0.0,0,[],[],ok
10.5281/zenodo.15063914,0.0,0,[],[],ok
10.5281/zenodo.7488353,0.0,0,[],[],ok
10.5281/zenodo.7488643,0.0,0,[],[],ok
10.5281/zenodo.5386138,0.0,0,[],[],ok
10.5281/zenodo.12076817,0.0,0,[],[],ok
10.5281/zenodo.5507449,0.0,0,[],[],ok
10.1177/21925682241254036,0.0,0,[],[],ok
10.5281/zenodo.12774375,0.0,0,[],[],ok
10.5281/zenodo.12774330,0.0,0,[],[],ok
10.5281/zenodo.6355587,0.0,0,[],[],ok
10.5281/zenodo.14062416,0.0,0,[],[],ok
10.5281/zenodo.15039051,0.0,0,[],[],ok
10.5281/zenodo.4139912,0.0,0,[],[],ok
10.5281/zenodo.5093727,0.0,1,[],['0680499050-062604258145'],ok
10.5281/zenodo.10209411,0.0,0,[],[],ok
10.5281/zenodo.14801356,0.0,0,[],[],ok
10.5281/zenodo.12636008,0.0,0,[],[],ok
10.5281/zenodo.8063812,0.0,0,[],[],ok
10.5281/zenodo.10352368,0.0,0,[],[],ok
10.5281/zenodo.10501038,0.0,0,[],[],ok
10.5281/zenodo.10501020,0.0,0,[],[],ok
10.5281/zenodo.10500941,0.0,0,[],[],ok
10.5281/zenodo.10362368,0.0,0,[],[],ok
10.5281/zenodo.10343599,0.0,0,[],[],ok
10.5281/zenodo.7833536,0.0,0,[],[],ok
10.5281/zenodo.10294589,0.0,0,[],[],ok
10.5281/zenodo.10392844,0.0,0,[],[],ok
10.5281/zenodo.15025832,0.0,0,[],[],ok
10.5281/zenodo.15178060,0.0,0,[],[],ok
10.5281/zenodo.8376994,0.0,0,[],[],ok
10.5281/zenodo.10073606,0.0,0,[],[],ok
10.5281/zenodo.13934872,0.0,0,[],[],ok
10.5281/zenodo.7129316,0.0,0,[],[],ok
10.5281/zenodo.3611200,0.0,0,[],[],ok
10.5281/zenodo.4498186,0.0,0,[],[],ok
10.5281/zenodo.7691771,0.0,0,[],[],ok
10.5281/zenodo.579679,0.0,0,[],[],ok
10.5281/zenodo.3344713,0.0,0,[],[],ok
10.5281/zenodo.4782245,0.0,0,[],[],ok
10.5281/zenodo.10782978,0.0,0,[],[],ok
10.5281/zenodo.5799129,0.0,0,[],[],ok
10.5281/zenodo.1175213,0.0,0,[],[],ok
10.5281/zenodo.2652855,0.0,0,[],[],ok
10.5281/zenodo.8208274,0.0,0,[],[],ok
10.5281/zenodo.4313278,0.0,0,[],[],ok
10.5281/zenodo.7777486,0.0,0,[],[],ok
10.5281/zenodo.11210434,0.0,0,[],[],ok
10.5281/zenodo.4026121,0.0,0,[],[],ok
10.5281/zenodo.7034725,0.0,0,[],[],ok
10.5281/zenodo.7078895,0.0,0,[],[],ok
10.5281/zenodo.7749765,0.0,0,[],[],ok
10.5281/zenodo.10520542,0.0,0,[],[],ok
10.5281/zenodo.6977612,0.0,0,[],[],ok
10.5281/zenodo.8215395,0.0,0,[],[],ok
10.5281/zenodo.4008687,0.0,0,[],[],ok
10.5281/zenodo.5499856,0.0,0,[],[],ok
10.5281/zenodo.15433641,0.0,0,[],[],ok
10.5281/zenodo.5535568,0.0,0,[],[],ok
10.5281/zenodo.7307641,0.0,0,[],[],ok
10.5281/zenodo.5018586,0.0,1,[],['061202127149-061403569058'],ok
10.5281/zenodo.7307606,0.0,0,[],[],ok
10.5281/zenodo.6539384,0.0,0,[],[],ok
10.5281/zenodo.14230701,0.0,0,[],[],ok
10.5281/zenodo.6205836,0.0,1,[],['061202127149-061503593762'],ok
10.5281/zenodo.14741864,0.0,0,[],[],ok
10.5281/zenodo.4723674,0.0,0,[],[],ok
10.5281/zenodo.7538619,0.0,0,[],[],ok
10.5281/zenodo.6188748,0.0,1,[],['061202127149-061303572746'],ok
10.5281/zenodo.5579743,0.0,0,[],[],ok
10.5281/zenodo.6597141,0.0,0,[],[],ok
10.5281/zenodo.4892551,0.0,1,[],['061202127149-061903578905'],ok
10.5061/dryad.x3ffbg7g9,1.0,1,['060301071-0640338633'],['0640338633-060301071'],ok
10.5281/zenodo.11061263,0.0,0,[],[],ok
10.5281/zenodo.13873759,0.0,0,[],[],ok
10.5281/zenodo.10931121,0.0,0,[],[],ok
10.5281/zenodo.7307852,0.0,0,[],[],ok
10.5281/zenodo.10931121,0.0,0,[],[],ok
10.5281/zenodo.15348585,0.0,0,[],[],ok
10.5281/zenodo.10075981,0.0,0,[],[],ok
10.5281/zenodo.8009645,0.0,0,[],[],ok
10.5281/zenodo.10567702,0.0,0,[],[],ok
10.5281/zenodo.3938868,0.0,0,[],[],ok
10.5281/zenodo.3938811,0.0,0,[],[],ok
10.5281/zenodo.10843863,0.0,0,[],[],ok
10.5281/zenodo.14850268,0.0,0,[],[],ok
10.5281/zenodo.5167263,0.0,0,[],[],ok
10.5281/zenodo.10529185,0.0,0,[],[],ok
10.5281/zenodo.11120753,0.0,0,[],[],ok
10.5281/zenodo.13854772,0.0,0,[],[],ok
10.5281/zenodo.10805065,0.0,0,[],[],ok
10.5281/zenodo.11091938,0.0,0,[],[],ok
10.5281/zenodo.7823090,0.0,0,[],[],ok
10.5281/zenodo.14014012,0.0,0,[],[],ok
10.5281/zenodo.14018202,0.0,0,[],[],ok
10.5281/zenodo.14013792,0.0,0,[],[],ok
10.5281/zenodo.14046014,0.0,0,[],[],ok
10.5281/zenodo.5562038,0.0,0,[],[],ok
10.5281/zenodo.15187733,0.0,0,[],[],ok
10.5281/zenodo.7467249,0.0,0,[],[],ok
10.5281/zenodo.10939450,0.0,0,[],[],ok
10.5281/zenodo.7590555,0.0,1,[],['06903995351-06310164013'],ok
10.5281/zenodo.7589320,0.0,1,[],['06903995351-06310164007'],ok
10.5281/zenodo.7589630,0.0,1,[],['06903995351-06310164008'],ok
10.5281/zenodo.7590574,0.0,1,[],['06903995351-06310164015'],ok
10.5281/zenodo.7590308,0.0,1,[],['06903995351-06310164011'],ok
10.5281/zenodo.7590565,0.0,1,[],['06903995351-06310164014'],ok
10.5281/zenodo.7590061,0.0,1,[],['06903995351-06310164010'],ok
10.5281/zenodo.7588815,0.0,1,[],['06903995351-06310164005'],ok
10.5281/zenodo.7590547,0.0,1,[],['06903995351-06310164012'],ok
10.5281/zenodo.7541722,0.0,1,[],['06903995351-06310164017'],ok
10.5281/zenodo.7590583,0.0,1,[],['06903995351-06310164016'],ok
10.5281/zenodo.7589131,0.0,1,[],['06903995351-06310164006'],ok
10.5281/zenodo.7589942,0.0,1,[],['06903995351-06310164009'],ok
10.5281/zenodo.10599545,0.0,0,[],[],ok
10.5281/zenodo.10599454,0.0,0,[],[],ok
10.5281/zenodo.10631641,0.0,0,[],[],ok
10.5281/zenodo.7840207,0.0,0,[],[],ok
10.5281/zenodo.6951364,0.0,0,[],[],ok
10.5281/zenodo.10444375,0.0,0,[],[],ok
10.5281/zenodo.11121389,0.0,0,[],[],ok
10.5281/zenodo.10529338,0.0,0,[],[],ok
10.5281/zenodo.10446163,0.0,0,[],[],ok
10.5281/zenodo.10446141,0.0,0,[],[],ok
10.5281/zenodo.6574273,0.0,0,[],[],ok
10.5281/zenodo.6685697,0.0,0,[],[],ok
10.5281/zenodo.6685733,0.0,0,[],[],ok
10.5281/zenodo.10446241,0.0,0,[],[],ok
10.5281/zenodo.6685785,0.0,0,[],[],ok
10.5281/zenodo.14510373,0.0,0,[],[],ok
10.5281/zenodo.14264691,0.0,0,[],[],ok
10.5281/zenodo.7919460,0.0,0,[],[],ok
10.5281/zenodo.6685819,0.0,0,[],[],ok
10.5281/zenodo.7916732,0.0,0,[],[],ok
10.5281/zenodo.14505948,0.0,0,[],[],ok
10.5281/zenodo.10444458,0.0,0,[],[],ok
10.5281/zenodo.15355852,0.0,0,[],[],ok
10.5281/zenodo.10687350,0.0,0,[],[],ok
10.5281/zenodo.10805065,0.0,0,[],[],ok
10.5281/zenodo.11091938,0.0,0,[],[],ok
10.5281/zenodo.10687504,0.0,0,[],[],ok
10.5281/zenodo.7627743,0.0,0,[],[],ok
10.5281/zenodo.15266983,0.0,0,[],[],ok
10.5281/zenodo.10178563,0.0,0,[],[],ok
10.5281/zenodo.7369861,0.0,0,[],[],ok
10.5281/zenodo.3762086,0.0,0,[],[],ok
10.5281/zenodo.10963566,0.0,0,[],[],ok
10.5281/zenodo.11120905,0.0,0,[],[],ok
10.5281/zenodo.11120753,0.0,0,[],[],ok
10.5281/zenodo.10529338,0.0,0,[],[],ok
10.5281/zenodo.10529185,0.0,0,[],[],ok
10.5281/zenodo.15075842,0.0,0,[],[],ok
10.5281/zenodo.11005191,0.0,0,[],[],ok
10.5281/zenodo.10102898,0.0,0,[],[],ok
10.5281/zenodo.13907515,0.0,0,[],[],ok
10.5281/zenodo.8170318,0.0,0,[],[],ok
10.5281/zenodo.11091938,0.0,0,[],[],ok
10.5281/zenodo.10687350,0.0,0,[],[],ok
10.5281/zenodo.10805065,0.0,0,[],[],ok
10.5281/zenodo.10687504,0.0,0,[],[],ok
10.5281/zenodo.7627743,0.0,0,[],[],ok
10.5281/zenodo.5676191,0.0,0,[],[],ok
10.5281/zenodo.5589609,0.0,0,[],[],ok
10.5281/zenodo.10809324,0.0,0,[],[],ok
10.5281/zenodo.12738551,0.0,0,[],[],ok
10.5281/zenodo.7874727,0.0,0,[],[],ok
10.5281/zenodo.7870249,0.0,0,[],[],ok
10.5281/zenodo.14246815,0.0,0,[],[],ok
10.5281/zenodo.14165027,0.0,0,[],[],ok
10.5281/zenodo.10014452,0.0,0,[],[],ok
10.5281/zenodo.10210150,0.0,0,[],[],ok
10.5281/zenodo.14227439,0.0,0,[],[],ok
10.5281/zenodo.8276125,0.0,1,[],['06304637378-06804648464'],ok
10.5281/zenodo.14900450,0.0,0,[],[],ok
10.5281/zenodo.8392479,0.0,0,[],[],ok
10.5281/zenodo.14512437,0.0,0,[],[],ok
10.5281/zenodo.15118191,0.0,0,[],[],ok
10.5281/zenodo.14944353,0.0,0,[],[],ok
10.5281/zenodo.6963270,0.0,0,[],[],ok
10.5281/zenodo.11124876,0.0,0,[],[],ok
10.5281/zenodo.13847404,0.0,0,[],[],ok
10.5281/zenodo.5671746,0.0,1,[],['06202296737-062103574466'],ok
10.5281/zenodo.15020306,0.0,0,[],[],ok
10.5281/zenodo.15019893,0.0,0,[],[],ok
10.5281/zenodo.15016904,0.0,0,[],[],ok
10.5281/zenodo.15016509,0.0,0,[],[],ok
10.5281/zenodo.15020393,0.0,0,[],[],ok
10.5281/zenodo.15020512,0.0,0,[],[],ok
10.6092/unibo/amsacta/7046,0.0,0,[],[],ok
10.5281/zenodo.6382778,0.0,0,[],[],ok
10.5281/zenodo.5863103,0.0,0,[],[],ok
10.5281/zenodo.5645586,0.0,0,[],[],ok
10.5281/zenodo.15297602,0.0,0,[],[],ok
10.5281/zenodo.10422520,0.0,0,[],[],ok
10.5281/zenodo.14814807,0.0,0,[],[],ok
10.5281/zenodo.11544578,0.0,0,[],[],ok
10.5281/zenodo.3238632,0.0,0,[],[],ok
10.5281/zenodo.14535886,0.0,0,[],[],ok
10.5281/zenodo.14860753,0.0,0,[],[],ok
10.5281/zenodo.13918612,0.0,0,[],[],ok
10.5281/zenodo.14833036,0.0,0,[],[],ok
10.5281/zenodo.14511107,0.0,0,[],[],ok
10.5281/zenodo.7509184,0.0,0,[],[],ok
10.5281/zenodo.6477723,0.0,0,[],[],ok
10.5281/zenodo.6477684,0.0,0,[],[],ok
10.5281/zenodo.7436673,0.0,0,[],[],ok
10.5281/zenodo.7509174,0.0,0,[],[],ok
10.5281/zenodo.6477972,0.0,0,[],[],ok
10.5281/zenodo.7379990,0.0,0,[],[],ok
10.5281/zenodo.7436753,0.0,0,[],[],ok
10.5281/zenodo.7509194,0.0,0,[],[],ok
10.5281/zenodo.10529185,0.0,0,[],[],ok
10.5281/zenodo.10517828,0.0,0,[],[],ok
10.5281/zenodo.11120905,0.0,0,[],[],ok
10.5281/zenodo.11120753,0.0,0,[],[],ok
10.5281/zenodo.11121162,0.0,0,[],[],ok
10.5281/zenodo.11120630,0.0,0,[],[],ok
10.5281/zenodo.14277535,0.0,0,[],[],ok
10.5281/zenodo.6365988,0.0,0,[],[],ok
10.5281/zenodo.15088595,0.0,0,[],[],ok
10.5281/zenodo.15187733,0.0,0,[],[],ok
10.5281/zenodo.8362905,0.0,0,[],[],ok
10.5281/zenodo.11571646,0.0,0,[],[],ok
10.5281/zenodo.8362827,0.0,0,[],[],ok
10.5281/zenodo.7612901,0.0,1,[],['062204216006-061904211960'],ok
10.5281/zenodo.8363082,0.0,0,[],[],ok
10.5281/zenodo.8363095,0.0,0,[],[],ok
10.5281/zenodo.8362815,0.0,0,[],[],ok
10.5281/zenodo.4761890,0.0,2,[],"['0610454857-062303566816', '062204216006-062303566816']",ok
10.13140/RG.2.2.14629.72168,0.0,0,[],[],ok
10.5281/zenodo.7307641,0.0,0,[],[],ok
10.5281/zenodo.5018586,0.0,1,[],['061202127149-061403569058'],ok
10.5281/zenodo.10980386,0.0,0,[],[],ok
10.5281/zenodo.10980111,0.0,0,[],[],ok
10.5281/zenodo.14748898,0.0,0,[],[],ok
10.5281/zenodo.4590985,0.0,0,[],[],ok
10.5281/zenodo.10567258,0.0,0,[],[],ok
10.5281/zenodo.14926721,0.0,0,[],[],ok
10.5281/zenodo.8087495,0.0,0,[],[],ok
10.5061/dryad.0k6djhb13,0.0,0,[],[],ok
10.5061/dryad.np5hqbzsj,1.0,0,['060294183-06210170824'],[],ok
10.5281/zenodo.6406911,0.0,0,[],[],ok
10.5281/zenodo.12806588,0.0,0,[],[],ok
10.5281/zenodo.14655644,0.0,0,[],[],ok
10.5281/zenodo.14655996,0.0,0,[],[],ok
10.5281/zenodo.14655852,0.0,0,[],[],ok
10.5281/zenodo.5141364,0.0,0,[],[],ok
10.5281/zenodo.10830124,0.0,0,[],[],ok
10.5281/zenodo.14654402,0.0,0,[],[],ok
10.5281/zenodo.4761890,0.0,0,[],[],ok
10.5281/zenodo.7612901,0.0,0,[],[],ok
10.5281/zenodo.6566114,0.0,0,[],[],ok
10.5281/zenodo.7823090,0.0,0,[],[],ok
10.5281/zenodo.7682309,0.0,0,[],[],ok
10.5281/zenodo.15240216,0.0,0,[],[],ok
10.5281/zenodo.14242270,0.0,0,[],[],ok
10.5281/zenodo.8272176,0.0,0,[],[],ok
10.5281/zenodo.13149280,0.0,0,[],[],ok
10.5281/zenodo.8376994,0.0,0,[],[],ok
10.5281/zenodo.13941501,0.0,0,[],[],ok
10.5281/zenodo.14177732,0.0,0,[],[],ok
10.5281/zenodo.13982080,0.0,0,[],[],ok
10.5281/zenodo.15130614,0.0,0,[],[],ok
10.5281/zenodo.12634490,0.0,0,[],[],ok
10.5281/zenodo.12565863,0.0,0,[],[],ok
10.5281/zenodo.12547820,0.0,0,[],[],ok
10.5281/zenodo.12570746,0.0,0,[],[],ok
10.5281/zenodo.12570537,0.0,0,[],[],ok
10.5281/zenodo.12570357,0.0,0,[],[],ok
10.5281/zenodo.12635957,0.0,0,[],[],ok
10.5281/zenodo.12567704,0.0,0,[],[],ok
10.5281/zenodo.12643523,0.0,0,[],[],ok
10.5281/zenodo.4533739,0.0,0,[],[],ok
10.5281/zenodo.15056489,0.0,0,[],[],ok
10.5281/zenodo.15127890,0.0,0,[],[],ok
10.6092/unibo/amsacta/5157,0.0,0,[],[],ok
10.6092/unibo/amsacta/5401,0.0,0,[],[],ok
10.6092/unibo/amsacta/5433,0.0,0,[],[],ok
10.6092/unibo/amsacta/5486,0.0,0,[],[],ok
10.6092/unibo/amsacta/5497,0.0,0,[],[],ok
10.6092/unibo/amsacta/5517,0.0,0,[],[],ok
10.6092/unibo/amsacta/5555,0.0,0,[],[],ok
10.6092/unibo/amsacta/5567,0.0,0,[],[],ok
10.6092/unibo/amsacta/5568,0.0,0,[],[],ok
10.6092/unibo/amsacta/5619,0.0,0,[],[],ok
10.6092/unibo/amsacta/5620,0.0,0,[],[],ok
10.6092/unibo/amsacta/5621,0.0,0,[],[],ok
10.6092/unibo/amsacta/5691,0.0,0,[],[],ok
10.6092/unibo/amsacta/5695,0.0,0,[],[],ok
10.6092/unibo/amsacta/5718,0.0,0,[],[],ok
10.6092/unibo/amsacta/5725,0.0,0,[],[],ok
10.6092/unibo/amsacta/5726,0.0,0,[],[],ok
10.6092/unibo/amsacta/5751,0.0,0,[],[],ok
10.6092/unibo/amsacta/5763,0.0,0,[],[],ok
10.6092/unibo/amsacta/5764,0.0,0,[],[],ok
10.6092/unibo/amsacta/5770,0.0,0,[],[],ok
10.6092/unibo/amsacta/5849,0.0,0,[],[],ok
10.6092/unibo/amsacta/5956,0.0,0,[],[],ok
10.6092/unibo/amsacta/5975,0.0,0,[],[],ok
10.6092/unibo/amsacta/5981,0.0,0,[],[],ok
10.6092/unibo/amsacta/5982,0.0,0,[],[],ok
10.6092/unibo/amsacta/5983,0.0,0,[],[],ok
10.6092/unibo/amsacta/5985,0.0,0,[],[],ok
10.6092/unibo/amsacta/5998,0.0,0,[],[],ok
10.6092/unibo/amsacta/6011,0.0,0,[],[],ok
10.6092/unibo/amsacta/6028,0.0,0,[],[],ok
10.6092/unibo/amsacta/6069,0.0,0,[],[],ok
10.6092/unibo/amsacta/6099,0.0,0,[],[],ok
10.6092/unibo/amsacta/6101,0.0,0,[],[],ok
10.6092/unibo/amsacta/6111,0.0,0,[],[],ok
10.6092/unibo/amsacta/6112,0.0,1,[],['06301744279-061803568703'],ok
10.6092/unibo/amsacta/6113,0.0,0,[],[],ok
10.6092/unibo/amsacta/6135,0.0,0,[],[],ok
10.6092/unibo/amsacta/6146,0.0,0,[],[],ok
10.6092/unibo/amsacta/6151,0.0,0,[],[],ok
10.6092/unibo/amsacta/6161,0.0,0,[],[],ok
10.6092/unibo/amsacta/6166,0.0,0,[],[],ok
10.6092/unibo/amsacta/6176,0.0,0,[],[],ok
10.6092/unibo/amsacta/6180,0.0,0,[],[],ok
10.6092/unibo/amsacta/6197,0.0,1,[],['0646073461-06380104699'],ok
10.6092/unibo/amsacta/6202,0.0,0,[],[],ok
10.6092/unibo/amsacta/6203,0.0,0,[],[],ok
10.6092/unibo/amsacta/6209,0.0,0,[],[],ok
10.6092/unibo/amsacta/6210,0.0,0,[],[],ok
10.6092/unibo/amsacta/6215,0.0,0,[],[],ok
10.6092/unibo/amsacta/6219,0.0,0,[],[],ok
